Артикул;Название;Номенклaтурa;Баркод;ТМ;Статус;20-February-2024;21-February-2024;22-February-2024;23-February-2024;24-February-2024;25-February-2024;26-February-2024;27-February-2024;28-February-2024;29-February-2024;01-March-2024;02-March-2024;03-March-2024;26-February-03-March;04-March-2024;05-March-2024;06-March-2024;07-March-2024;08-March-2024;09-March-2024;10-March-2024;04-March-10-March;11-March-2024;12-March-2024;13-March-2024;14-March-2024;15-March-2024;16-March-2024;17-March-2024;11-March-17-March;18-March-2024;19-March-2024;20-March-2024;21-March-2024;22-March-2024;23-March-2024;24-March-2024;18-March-24-March;25-March-2024;26-March-2024;27-March-2024;28-March-2024;29-March-2024;30-March-2024;31-March-2024;25-March-31-March;01-April-2024;02-April-2024;03-April-2024;04-April-2024;05-April-2024;06-April-2024;07-April-2024;01-April-07-April;08-April-2024;   ;Остаток;Остаток fbs;Цена;Цена до скидки;Наценка;Остаток на РЦ;Остаток РЦ Иркутск;В резерве;Выручка;Доля выручки;Итого наценка;Спринт озон;Спринт вб;IDC;Оценка IDC;1;                              ;Рыночная цена конкурентов, руб.;Моя цена на других площадках, руб.;Индекс цен;Ценовой индекс товара на Ozon;Ценовой индекс товара на рынке;Ценовой индекс товара на рынке на мои товары;Ссылка на рыночную цену конкурентов;Средняя прибыль за период  10 последних дней;Средняя прибыль;Взвешенная средняя прибыль;Категория за прошлый день;Категории товров по прибыли;Разница категрий;Хиты. Без ограничения срока действия Цена;Хиты. Без ограничения срока действия Наценка;СуперХиты. Без ограничения срока действия Цена;СуперХиты. Без ограничения срока действия Наценка;СуперХиты со скидкой на комиссию - 5%.Без ограничения срока действия Цена;СуперХиты со скидкой на комиссию - 5%.Без ограничения срока действия Наценка; МегаХиты. Без ограничения срока действия Цена; МегаХиты. Без ограничения срока действия Наценка;МегаХиты со скидкой на комиссию - 5%. Без ограничения срока действия Цена;МегаХиты со скидкой на комиссию - 5%. Без ограничения срока действия Наценка;Категория;turnover;Наценка_fbs;Разница в цене предыдущего дня;Стандартное отклонение цен за последние 7 дней;Стандартное отклонение цен за последние 3 дня;Отличие максимальной цены от минимальной за 3 дня;прибыль с единицы товара;Moscow_warehouses;Шушары 8.11;Адыгейск 13.11;Пушкино 13.11;Софьино 13.11;Екат 16.11;Самара;Шушары 23.11;Склад Химки (FBS обычные товары);Склад Иркутск;ПСР
16952;Подсвечники серебристые;884362264;4642714263294;Birdhouse;отказ;1;1;2;2;0;0;1;0;1;1;1;0;0;4;2;1;0;0;0;0;0;3;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;2;10;17;44;12;21;3;6;113;3;1;0;3;0;4;0;11;2;   ;650;12.0;903.0;3200.0;3.31;142.0;46.0;1.0;1806.0;0.07017898360936031;;;;273.11;Критическая;;;549.0;549.0;Невыгодный;0.0;1.19;1.19;https://wildberries.ru/catalog/150256411/detail.aspx;165.0;126.0;0.02159941990129408;3.0;3.0;;1521.0;60.71;1481.0;57.0;1440.0;53.19;1440.0;53.19;1400.0;49.48;;78.45;-0.16;;191.52;;;19.72;29.0;;;;;;;;9.0;3.0;0.0
16970;Набор столовых приборов;676355320;4642912088149;Shiny Kitchen;текущий;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;   ;1;0.0;1979.0;3999.0;98.05;4.0;;;0.0;0.0;;ТЗ 22 (8.09-17.09);;Нет продаж;Нет продаж;;;0.0;0.0;;0.0;0.0;0.0;;0.0;441.0;0.07559796965452928;3.0;3.0;;2025.0;102.42;1988.0;98.91;1952.0;95.49;1952.0;95.49;1899.0;90.46;Household;;93.16;;;;;558.15;0.0;;;;;;;;0.0;0.0;0.0
16980;Кружка с автоподогревом зеленая;884148150;4602575576483;SSY;текущий Дарья;19;21;27;13;20;10;17;47;36;37;33;33;25;228;22;17;8;7;4;1;3;62;2;4;0;1;2;0;0;9;0;2;1;0;0;0;0;3;0;1;0;0;0;1;2;4;0;0;0;1;0;0;0;1;1;   ;0;0.0;1390.0;1799.0;163.38;4.0;1.0;;1390.0;0.05401372492636258;;ТЗ 30 (16.10 - 25.10);;0.0;Высокая;;;903.0;903.0;Невыгодный;0.0;1.16;1.16;https://wildberries.ru/catalog/150243886/detail.aspx;850.0;396.0;0.06788389111835282;3.0;3.0;;1251.0;136.56;1181.0;123.05;1112.0;109.74;1112.0;109.74;1042.0;96.23;;;154.59;;;;;457.18;;;;180.0;;;;;0.0;0.0;0.0
16981;Кружка с автоподогревом белая;884147065;4604848566405;SSY;текущий Дарья;34;24;21;21;19;19;45;26;58;29;57;59;55;329;46;45;18;23;11;5;3;151;7;2;6;5;4;2;1;27;3;1;2;0;4;2;4;16;4;4;3;2;2;2;0;17;1;1;2;0;2;0;1;7;1;   ;37;0.0;1450.0;1799.0;173.96;3.0;3.0;;1450.0;0.056345252621025715;;;;2.27;Высокая;;;1107.0;1107.0;Выгодный;0.0;1.01;1.01;https://wildberries.ru/catalog/150243888/detail.aspx;853.0;413.0;0.07079809856535281;3.0;3.0;;1305.0;145.98;1232.0;131.89;1160.0;118.0;1160.0;118.0;1087.0;103.91;;;165.03;;;;;486.78;1.0;;;;;;;;0.0;0.0;0.0
17000;Подарочный набор канцелярии 1;902107940;4617415856885;Parchment;текущий Дарья;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;   ;0;19.0;1940.0;3199.0;68.32;4.0;249.0;;0.0;0.0;;ТЗ 10 (10.07-19.07);;Нет продаж;Нет продаж;;;0.0;0.0;;0.0;0.0;0.0;;2398.0;2131.0;0.3653044746798229;2.0;2.0;;2280.0;95.18;2196.0;88.54;2136.0;83.8;2136.0;83.8;2076.0;79.06;;;64.47;;;;;489.99;;;;;;;;;0.0;19.0;0.0
17001;Подарочный набор канцелярии 2;903826519;4618297936184;Parchment;текущий Дарья;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;   ;0;18.0;1940.0;3199.0;68.32;2.0;223.0;;0.0;0.0;;ТЗ 10 (10.07-19.07);;0.0;Высокая;;;1499.0;1499.0;Выгодный;0.0;0.96;0.96;https://wildberries.ru/catalog/152457191/detail.aspx;777.0;616.0;0.1055971639618822;3.0;3.0;;2033.0;75.67;1958.0;69.74;1904.0;65.47;1904.0;65.47;1851.0;61.29;;;64.47;;;;;489.99;;;;;;;;;0.0;18.0;0.0
17002;Подарочный набор канцелярии 3;903826620;4618625237211;Parchment;текущий Дарья;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;   ;0;17.0;1940.0;3199.0;68.32;4.0;213.0;;0.0;0.0;;ТЗ 10 (10.07-19.07);;Нет продаж;Нет продаж;;;0.0;0.0;;0.0;0.0;0.0;;834.0;918.0;0.1573672021379997;3.0;3.0;;2280.0;95.18;2196.0;88.54;2136.0;83.8;2136.0;83.8;2076.0;79.06;;;64.47;;;;;489.99;0.0;;;;;;;;0.0;17.0;0.0
17003;Подарочный набор канцелярии 4;903826688;4618863599775;Parchment;текущий Дарья;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;   ;0;23.0;1940.0;3199.0;68.32;3.0;307.0;;0.0;0.0;;ТЗ 10 (10.07-19.07);;Нет продаж;Нет продаж;;;0.0;0.0;;0.0;0.0;0.0;;748.0;1022.0;0.1751952947549409;3.0;3.0;;2280.0;95.18;2196.0;88.54;2136.0;83.8;2136.0;83.8;2076.0;79.06;;;64.47;;;;;489.99;;;;;;;;;0.0;23.0;0.0
17004;Планировщик бюджета фиолетовый;954253900;4632140552994;Parchment;текущий Дарья;8;10;14;8;6;9;6;16;19;10;18;14;13;96;17;12;9;9;9;9;13;78;4;10;4;6;8;7;5;44;5;9;9;6;6;6;2;43;4;7;9;3;2;3;7;35;7;5;7;7;3;3;1;33;4;   ;257;0.0;1050.0;1399.0;100.83;4.0;3.0;;4200.0;0.16320693862641933;;ТЗ 20 (28.08-6.09);;29.2;Высокая;;;793.0;793.0;Выгодный;0.0;1.01;1.01;https://wildberries.ru/catalog/158667760/detail.aspx;982.0;821.0;0.1407390772933527;3.0;3.0;;1003.0;92.04;972.0;86.24;946.0;81.37;936.0;79.5;884.0;69.77;;52.91;93.68;;;;;305.4;67.0;;;;;;;;0.0;0.0;0.0
17005;Планировщик бюджета розовый;954257411;4632422614891;Parchment;текущий Дарья;3;5;4;4;2;5;7;4;7;9;6;2;5;40;4;8;6;5;3;4;7;37;2;6;4;3;3;9;6;33;6;3;9;7;12;6;1;44;7;7;10;4;8;12;3;51;9;10;4;7;9;9;9;57;8;   ;266;0.0;990.0;1399.0;90.53;2.0;4.0;;7920.0;0.30776165569553354;;;;52.99;Средняя;;;792.0;792.0;Выгодный;0.0;0.92;0.92;https://wildberries.ru/catalog/158667761/detail.aspx;592.0;339.0;0.05811272497252931;3.0;3.0;;955.0;83.98;925.0;78.37;900.0;73.69;891.0;72.01;841.0;62.65;;34.17;83.51;;;;;274.2;54.0;;;;;;;;0.0;0.0;0.0
