Артикул;Наименование;Номенклатура;Баркод;ТМ;Статус;20-February-2024;21-February-2024;22-February-2024;23-February-2024;24-February-2024;25-February-2024;26-February-2024;27-February-2024;28-February-2024;29-February-2024;01-March-2024;02-March-2024;03-March-2024;26-February-03-March;04-March-2024;05-March-2024;06-March-2024;07-March-2024;08-March-2024;09-March-2024;10-March-2024;04-March-10-March;11-March-2024;12-March-2024;13-March-2024;14-March-2024;15-March-2024;16-March-2024;17-March-2024;11-March-17-March;18-March-2024;19-March-2024;20-March-2024;21-March-2024;22-March-2024;23-March-2024;24-March-2024;18-March-24-March;25-March-2024;26-March-2024;27-March-2024;28-March-2024;29-March-2024;30-March-2024;31-March-2024;25-March-31-March;01-April-2024;02-April-2024;03-April-2024;04-April-2024;05-April-2024;06-April-2024;07-April-2024;01-April-07-April;08-April-2024;     ;Остаток;Остатки FBS;Цена;Цена до скидки;Наценка;Остаток на РЦ;Остаток РЦ Иркутск;В резерве;                                  ;Остаток в Невинномысске;Наценка_Невинномысск_монопалета;Остаток в Екатеринбург - Испытателей 14г;Остаток в Екатеринбург - Перспективный 12;Остаток в Новосибирске;          ;Стоимость логистики;Выручка;Доля выручки;Итого наценка;Цена_Товары для акции_Распродажа неходового товара_идет;Наценка_Товары для акции_Распродажа неходового товара_идет;Цена_Товары для акции_СКИДКИ ПРОСТО КОСМОС_идет;Наценка_Товары для акции_СКИДКИ ПРОСТО КОСМОС_идет;Спринт вб;Спринт озон;Новый баркод;Разница в цене предыдущего дня;Стандартное отклонение цен за последние 7 дней;Стандартное отклонение цен за последние 3 дня;Отличие максимальной цены от минимальной за 3 дня;Склад_Иркутск;Склад_Омск;ПСР;Склад_Поставщик_Химки;статус рекламы;прибыль с единицы товара;Коледино 10.11;Электросталь 3.11;Екатеринбург 20.11;Екат доп;Краснодар 13.11;Шушары 8.11
16951;Подсвечники черные;150256409.0;7432141950356.0;Birdhouse;сезонка;1;0;0;1;3;0;0;1;0;0;1;0;0;2;1;0;1;0;0;0;1;3;1;1;0;0;0;0;0;2;0;0;0;0;14;0;0;14;1;0;0;0;1;0;0;2;2;0;0;0;0;0;0;2;0;     ;469;13.0;1020.0;2374.0;12.48;175.0;8.0;;;0.0;15.47;55.0;0.0;69.0;;79.2;0.0;0.0;;;;969.0;8.08;;ТЗ 10 (10.07-19.07);4642656711822.0;;;;;1.0;;0.0;12.0;;74.35;;;;;;
16952;Подсвечники серебристые;150256411.0;7432141950357.0;Birdhouse;отказ;2;0;2;1;1;0;0;0;1;0;1;0;0;2;0;0;0;1;1;1;0;3;1;0;0;0;0;1;0;2;0;0;1;0;0;0;0;1;1;0;0;5;0;0;0;6;0;2;0;4;3;4;1;14;1;     ;418;13.0;699.0;1705.0;-15.22;142.0;46.0;1.0;;0.0;-12.23;55.0;0.0;54.0;;79.2;699.0;0.03244098201033842;;;;969.0;8.08;;;4642714263294.0;;155.2;;;3.0;;0.0;10.0;;-90.65;;;;;;
16970;Набор столовых приборов;117921681.0;7432141950364.0;Shiny Kitchen;текущий;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;     ;0;0.0;2230.0;20273.0;125.76;4.0;;;;0.0;125.94;;;;;54.0;0.0;0.0;;;;;;;ТЗ 22 (8.09-17.09);4642912088149.0;;;;;0.0;;;0.0;;715.87;;;;;;
16980;Кружка с автоподогревом зеленая;150243886.0;4602575576483.0;SS&Y Group;текущий Дарья;15;14;18;6;6;7;11;16;14;2;6;22;17;88;16;22;10;1;1;2;3;55;3;2;2;3;4;1;2;17;3;6;1;2;3;1;2;18;1;5;3;1;3;2;1;16;0;2;1;0;0;0;1;4;2;     ;28;0.0;1150.0;3286.0;116.96;4.0;1.0;;;0.0;129.33;0.0;0.0;27.0;;104.4;2300.0;0.10674428987665001;;;;1081.0;104.45;;ТЗ 30 (16.10 - 25.10);;;;;;0.0;;0.0;0.0;;327.29;;;;;;
16981;Кружка с автоподогревом белая;150243888.0;4604848566405.0;SS&Y Group;текущий Дарья;38;15;19;30;17;22;17;48;47;61;43;38;38;292;54;30;24;3;9;7;4;131;8;2;3;3;1;4;5;26;3;4;2;1;2;2;1;15;0;2;3;1;4;3;1;14;2;3;3;1;2;0;2;13;2;     ;129;0.0;1409.0;4862.0;163.92;3.0;3.0;;;0.0;176.29;0.0;0.0;22.0;;104.4;2818.0;0.13078496037930423;;;;1347.0;152.68;;;;;;;;0.0;;;0.0;;458.69;;;;;;
17000;Подарочный набор канцелярии 1;152247247.0;4617415856885.0;Parchment;текущий Дарья;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;     ;0;17.0;1909.0;4773.0;69.88;4.0;249.0;;;0.0;72.36;;;;;79.2;0.0;0.0;;;;1852.0;65.58;;ТЗ 10 (10.07-19.07);;;;;;17.0;;0.0;0.0;;501.19;;;;;;
17001;Подарочный набор канцелярии 2;152457191.0;4618297936184.0;Parchment;текущий Дарья;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;     ;1;16.0;1908.0;6158.0;69.8;2.0;223.0;;;0.0;72.29;;;;;79.2;0.0;0.0;;;;1851.0;65.51;;ТЗ 10 (10.07-19.07);;;;;;16.0;;0.0;0.0;;500.65;;;;;;
17002;Подарочный набор канцелярии 3;152457193.0;4618625237211.0;Parchment;текущий Дарья;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;     ;0;15.0;1909.0;5615.0;69.88;4.0;213.0;;;0.0;72.36;;;;;79.2;0.0;0.0;;;;1852.0;65.58;;ТЗ 10 (10.07-19.07);;;;;;15.0;;0.0;0.0;;501.19;;;;;;
17003;Подарочный набор канцелярии 4;152457143.0;4618863599775.0;Parchment;текущий Дарья;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;     ;0;21.0;1909.0;6583.0;69.88;3.0;307.0;;;0.0;72.36;;;;;79.2;0.0;0.0;;;;1852.0;65.58;;ТЗ 10 (10.07-19.07);;;;;;21.0;;;0.0;;501.19;;;;;;
17004;Планировщик бюджета фиолетовый;158667760.0;4632140552994.0;Parchment;текущий Дарья;3;8;9;3;2;3;2;0;5;4;2;3;4;20;6;3;2;5;1;6;2;25;4;3;2;4;6;1;6;26;8;7;13;6;9;6;1;50;13;8;12;5;7;6;3;54;9;6;1;2;5;2;0;25;0;     ;306;0.0;1010.0;1804.0;101.74;4.0;3.0;;;0.0;102.07;;;;;54.0;0.0;0.0;;;;887.0;79.78;;ТЗ 20 (28.08-6.09);;;;;;0.0;;0.0;0.0;приостановлена;308.15;;;;;;
